"County","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Dixon","19.39","24.00","34.88","47.69","59.25","69.33","73.62","71.46","62.43","49.72","34.99","22.03"
"Deuel","27.08","30.52","38.62","47.40","57.65","67.62","74.41","72.50","62.56","49.43","36.87","26.96"
"Dawson","25.55","28.98","38.27","48.61","59.13","69.13","74.53","72.62","63.40","50.63","37.15","26.42"
"Dawes","26.06","28.58","36.47","45.31","55.52","65.44","73.09","71.50","61.08","48.02","35.25","25.74"
"Dakota","19.48","24.18","35.37","48.28","59.80","69.85","74.07","71.86","62.87","50.18","35.45","22.34"
"Custer","24.29","27.81","36.93","47.29","57.89","67.95","73.72","71.83","62.21","49.36","35.81","25.15"
"Cuming","20.90","25.30","36.26","48.84","60.22","70.31","74.68","72.37","63.30","50.63","36.20","23.39"
"Colfax","21.81","26.04","36.79","49.11","60.30","70.42","74.83","72.55","63.52","50.89","36.43","24.05"
"Clay","24.84","28.76","38.97","50.21","60.92","71.10","75.88","73.75","64.91","52.33","38.38","26.74"
"Cheyenne","27.40","30.10","37.63","45.81","55.95","65.96","73.08","71.10","61.29","48.38","36.25","27.07"
"Cherry","24.38","27.43","35.85","45.67","56.21","65.96","72.79","71.22","61.11","48.30","34.90","24.86"
"Chase","27.12","30.63","38.86","48.08","58.61","68.68","75.04","73.04","63.44","50.31","37.52","27.39"
"Cedar","20.08","24.48","35.06","47.78","59.26","69.29","74.00","71.97","62.85","49.98","35.15","22.44"
"Cass","23.66","28.10","39.34","51.27","61.96","71.91","76.29","74.25","65.58","53.22","39.11","26.45"
"Butler","22.75","27.01","37.81","49.72","60.89","71.01","75.55","73.36","64.42","51.81","37.44","25.11"
"Burt","21.18","25.72","37.06","49.85","61.21","71.10","75.20","72.88","64.15","51.50","37.01","23.83"
"Buffalo","24.88","28.52","38.08","48.91","59.60","69.73","74.83","72.84","63.70","50.99","37.17","26.13"
"Brown","23.32","26.88","35.79","46.38","57.36","67.17","73.50","71.70","61.89","48.84","35.00","24.19"
"Boyd","21.21","25.25","35.16","46.91","58.17","68.19","74.38","72.71","62.88","49.36","34.82","22.95"
"Box Butte","26.40","28.98","36.58","45.19","55.51","65.45","72.75","71.00","60.82","47.84","35.43","26.05"
"Boone","22.21","26.19","36.31","47.98","59.01","68.99","73.82","71.76","62.60","49.88","35.95","24.13"
"Blaine","23.98","27.58","36.40","46.82","57.50","67.39","73.57","71.81","61.96","48.99","35.40","24.77"
"Banner","27.85","30.01","37.27","45.34","55.46","65.30","72.31","70.35","60.36","47.61","35.87","26.88"
"Arthur","25.76","29.10","37.44","46.89","57.33","67.00","73.72","71.99","61.98","48.79","36.09","26.03"
"Antelope","21.53","25.61","35.82","47.62","58.70","68.59","73.71","71.76","62.41","49.61","35.42","23.45"
"Adams","25.05","28.88","38.79","49.90","60.70","71.02","75.97","73.84","64.76","51.98","37.98","26.57"
